book_id,my_rating
40864002,4.0
243331918,3.0
220372340,4.0
219520719,4.0
374233,3.0
199798179,4.0
203956647,4.0
222493271,4.0
23515727,4.0
34386617,4.0
217463233,4.0
30038654,4.0
5297,4.0
25667918,3.0
56889499,3.0
35297426,3.0
205837684,4.0
40612032,5.0
5129,3.0
16299,4.0
221733722,3.0
40670312,3.0
197108968,4.0
62967873,4.0
35820656,3.0
30134847,4.0
25733990,4.0
25807,3.0
197525319,4.0
62334530,4.0
34466963,5.0
5886881,5.0
12331767,3.0
6088007,3.0
59582133,4.0
210352077,3.0
28676,4.0
43822820,4.0
19288043,5.0
21936809,4.0
60916172,3.0
85766771,4.0
55271524,3.0
36578942,3.0
59357120,3.0
66088773,4.0
61401116,3.0
45234,3.0
52578297,4.0
5933841,4.0
58740065,4.0
51801337,3.0
91274427,2.0
44421460,3.0
57693427,4.0
58537371,4.0
49090884,5.0
58957615,4.0
